name,acronym,AP_location,DV_location,ML_location,avIndex
Intermediate reticular nucleus,IRN,-6.52,6.44,1.18,979
Nucleus of the solitary tract,NTS,-6.52,5.25,1.19,949
Intermediate reticular nucleus,IRN,-6.52,6.38,1.22,979
Nucleus of the solitary tract,NTS,-6.52,5.5,1.22,949
Nucleus of the solitary tract,NTS,-6.52,5.29,1.24,949
Intermediate reticular nucleus,IRN,-6.52,6.22,1.24,979
Intermediate reticular nucleus,IRN,-6.52,6.49,1.24,979
Intermediate reticular nucleus,IRN,-6.52,6.35,1.25,979
Nucleus of the solitary tract,NTS,-6.52,5.33,1.27,949
Intermediate reticular nucleus,IRN,-6.52,6.4,1.28,979
Parvicellular reticular nucleus,PARN,-6.52,6.13,1.29,989
Intermediate reticular nucleus,IRN,-6.52,6.48,1.29,979
Nucleus of the solitary tract,NTS,-6.52,5.22,1.29,949
Parvicellular reticular nucleus,PARN,-6.52,6.25,1.32,989
Parvicellular reticular nucleus,PARN,-6.52,5.67,1.34,989
Intermediate reticular nucleus,IRN,-6.52,6.46,1.34,979
Spinal vestibular nucleus,SPIV,-6.52,5.18,1.36,1005
Nucleus of the solitary tract,NTS,-6.52,5.29,1.36,949
Parvicellular reticular nucleus,PARN,-6.52,6.32,1.35,989
Spinal vestibular nucleus,SPIV,-6.52,5.07,1.38,1005
Spinal nucleus of the trigeminal interpolar part,SPVI,-6.52,5.5,1.38,956
Nucleus ambiguus ventral division,AMBv,-6.52,6.67,1.38,973
Nucleus of the solitary tract,NTS,-6.52,5.37,1.4,949
Parvicellular reticular nucleus,PARN,-6.52,6.39,1.4,989
Nucleus ambiguus ventral division,AMBv,-6.52,6.64,1.4,973
Spinal vestibular nucleus,SPIV,-6.52,5.18,1.41,1005
Intermediate reticular nucleus,IRN,-6.52,6.54,1.41,979
Parvicellular reticular nucleus,PARN,-6.52,5.9,1.43,989
Nucleus ambiguus dorsal division,AMBd,-6.52,6.55,1.45,972
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.62,1.45,993
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.65,1.46,993
Parvicellular reticular nucleus,PARN,-6.52,6.03,1.45,989
Linear nucleus of the medulla,LIN,-6.52,6.35,1.46,981
Medulla,MY,-6.52,5.18,1.47,936
Linear nucleus of the medulla,LIN,-6.52,6.32,1.47,981
